基金代码,拼音缩写,基金简称,基金类型,拼音全称,status,last_updated
019318,HTFGZ2000ZSZQA,汇添富国证2000指数增强A,指数型-股票,HUITIANFUGUOZHENG2000ZHISHUZENGQIANGA,unknown,
019319,HTFGZ2000ZSZQC,汇添富国证2000指数增强C,指数型-股票,HUITIANFUGUOZHENG2000ZHISHUZENGQIANGC,unknown,
019320,YFDZZ500ZLCZETFLJFQSA,易方达中证500质量成长ETF联接发起式A,指数型-股票,YIFANGDAZHONGZHENG500ZHILIANGCHENGZHANGETFLIANJIEFAQISHIA,unknown,
019321,YFDZZ500ZLCZETFLJFQSC,易方达中证500质量成长ETF联接发起式C,指数型-股票,YIFANGDAZHONGZHENG500ZHILIANGCHENGZHANGETFLIANJIEFAQISHIC,unknown,
019322,ZXJTZYHHA,中信建投致远混合A,混合型-偏股,ZHONGXINJIANTOUZHIYUANHUNHEA,unknown,
019323,ZXJTZYHHC,中信建投致远混合C,混合型-偏股,ZHONGXINJIANTOUZHIYUANHUNHEC,unknown,
019324,YFDZZSWKJZTETFFQSLJA,易方达中证生物科技主题ETF发起式联接A,指数型-股票,YIFANGDAZHONGZHENGSHENGWUKEJIZHUTIETFFAQISHILIANJIEA,unknown,
019325,YFDZZSWKJZTETFFQSLJC,易方达中证生物科技主题ETF发起式联接C,指数型-股票,YIFANGDAZHONGZHENGSHENGWUKEJIZHUTIETFFAQISHILIANJIEC,unknown,
019328,GTJSHBHHA,国泰金盛回报混合A,混合型-偏股,GUOTAIJINSHENGHUIBAOHUNHEA,unknown,
019329,GTJSHBHHC,国泰金盛回报混合C,混合型-偏股,GUOTAIJINSHENGHUIBAOHUNHEC,unknown,
019330,HTBRZZHGSYJSCYETFFQSLJA,华泰柏瑞中证沪港深云计算产业ETF发起式联接A,指数型-股票,HUATAIBAIRUIZHONGZHENGHUGANGSHENYUNJISUANCHANYEETFFAQISHILIANJIEA,unknown,
019331,HTBRZZHGSYJSCYETFFQSLJC,华泰柏瑞中证沪港深云计算产业ETF发起式联接C,指数型-股票,HUATAIBAIRUIZHONGZHENGHUGANGSHENYUNJISUANCHANYEETFFAQISHILIANJIEC,unknown,
019334,DCHLHJHHA,大成红利汇聚混合A,混合型-偏股,DACHENGHONGLIHUIJUHUNHEA,unknown,
019335,DCHLHJHHC,大成红利汇聚混合C,混合型-偏股,DACHENGHONGLIHUIJUHUNHEC,unknown,
019336,WJGQDLHHA,万家国企动力混合A,混合型-偏股,WANJIAGUOQIDONGLIHUNHEA,unknown,
019337,WJGQDLHHC,万家国企动力混合C,混合型-偏股,WANJIAGUOQIDONGLIHUNHEC,unknown,
019338,CJHXQFYXGPFQA,创金合信启富优选股票发起A,股票型,CHUANGJINHEXINQIFUYOUXUANGUPIAOFAQIA,unknown,
019339,CJHXQFYXGPFQC,创金合信启富优选股票发起C,股票型,CHUANGJINHEXINQIFUYOUXUANGUPIAOFAQIC,unknown,
019340,XBLDYJJXHHA,西部利得研究精选混合A,混合型-偏股,XIBULIDEYANJIUJINGXUANHUNHEA,unknown,
019341,XBLDYJJXHHC,西部利得研究精选混合C,混合型-偏股,XIBULIDEYANJIUJINGXUANHUNHEC,unknown,
019342,FGJZFXHHA,富国价值发现混合A,混合型-偏股,FUGUOJIAZHIFAXIANHUNHEA,unknown,
019343,FGJZFXHHC,富国价值发现混合C,混合型-偏股,FUGUOJIAZHIFAXIANHUNHEC,unknown,
019344,GFJYZQLOFB,广发聚源债券(LOF)B,债券型-长债,GUANGFAJUYUANZHAIQUANLOFB,unknown,
019345,JYYLJKHHFQA,交银医疗健康混合发起A,混合型-偏股,JIAOYINYILIAOJIANKANGHUNHEFAQIA,unknown,
019346,JYYLJKHHFQC,交银医疗健康混合发起C,混合型-偏股,JIAOYINYILIAOJIANKANGHUNHEFAQIC,unknown,
019347,FGJXCZHHA,富国匠心成长混合A,混合型-偏股,FUGUOJIANGXINCHENGZHANGHUNHEA,unknown,
019348,FGJXCZHHC,富国匠心成长混合C,混合型-偏股,FUGUOJIANGXINCHENGZHANGHUNHEC,unknown,
019349,ZXBCRF6GYHHA,中信保诚瑞丰6个月混合A,混合型-偏债,ZHONGXINBAOCHENGRUIFENG6GEYUEHUNHEA,unknown,
019350,ZXBCRF6GYHHC,中信保诚瑞丰6个月混合C,混合型-偏债,ZHONGXINBAOCHENGRUIFENG6GEYUEHUNHEC,unknown,
019351,ZSYJHB3NDKHH,招商远见回报3年定开混合,混合型-偏股,ZHAOSHANGYUANJIANHUIBAO3NIANDINGKAIHUNHE,unknown,
019352,ZSJXQYHHA,招商精选企业混合A,混合型-偏股,ZHAOSHANGJINGXUANQIYEHUNHEA,unknown,
019353,ZSJXQYHHC,招商精选企业混合C,混合型-偏股,ZHAOSHANGJINGXUANQIYEHUNHEC,unknown,
019354,YFDPHSYHHA1,易方达平衡视野混合A1,混合型-偏股,YIFANGDAPINGHENGSHIYEHUNHEA1,unknown,
019355,YFDPHSYHHA2,易方达平衡视野混合A2,混合型-偏股,YIFANGDAPINGHENGSHIYEHUNHEA2,unknown,
019356,YFDPHSYHHA3,易方达平衡视野混合A3,混合型-偏股,YIFANGDAPINGHENGSHIYEHUNHEA3,unknown,
019357,DCXYQHHHA,大成兴远启航混合A,混合型-偏股,DACHENGXINGYUANQIHANGHUNHEA,unknown,
019358,DCXYQHHHC,大成兴远启航混合C,混合型-偏股,DACHENGXINGYUANQIHANGHUNHEC,unknown,
019359,JSCCZZ500HYZXDBDZSC,景顺长城中证500行业中性低波动指数C,指数型-股票,JINGSHUNCHANGCHENGZHONGZHENG500HANGYEZHONGXINGDIBODONGZHISHUC,unknown,
019360,HTFJJYXSNDKHH,汇添富积极优选三年定开混合,混合型-偏股,HUITIANFUJIJIYOUXUANSANNIANDINGKAIHUNHE,unknown,
019361,FGHXYSHHFQSA,富国核心优势混合发起式A,混合型-偏股,FUGUOHEXINYOUSHIHUNHEFAQISHIA,unknown,
019362,FGHXYSHHFQSC,富国核心优势混合发起式C,混合型-偏股,FUGUOHEXINYOUSHIHUNHEFAQISHIC,unknown,
019363,DCZXHBSNDKFHH,大成至信回报三年定开放混合,混合型-偏股,DACHENGZHIXINHUIBAOSANNIANDINGKAIFANGHUNHE,unknown,
019364,YHHMDKZQD,银华华茂定开债券D,债券型-混合一级,YINHUAHUAMAODINGKAIZHAIQUAND,unknown,
019365,HTFZZGXYQGDHBETFLJA,汇添富中证国新央企股东回报ETF联接A,指数型-股票,HUITIANFUZHONGZHENGGUOXINYANGQIGUDONGHUIBAOETFLIANJIEA,unknown,
019366,HTFZZGXYQGDHBETFLJC,汇添富中证国新央企股东回报ETF联接C,指数型-股票,HUITIANFUZHONGZHENGGUOXINYANGQIGUDONGHUIBAOETFLIANJIEC,unknown,
019367,CCJHCZHHA,长城均衡成长混合A,混合型-偏股,CHANGCHENGJUNHENGCHENGZHANGHUNHEA,unknown,
019368,CCJHCZHHC,长城均衡成长混合C,混合型-偏股,CHANGCHENGJUNHENGCHENGZHANGHUNHEC,unknown,
019369,YHAFZDQZCXJRZZQD,银华安丰中短期政策性金融债债券D,债券型-中短债,YINHUAANFENGZHONGDUANQIZHENGCEXINGJINRONGZHAIZHAIQUAND,unknown,
019370,FGJLWJPZHHE,富国久利稳健配置混合E,混合型-偏债,FUGUOJIULIWENJIANPEIZHIHUNHEE,unknown,
019371,FGYJJXSNDQKFHH,富国远见精选三年定期开放混合,混合型-偏股,FUGUOYUANJIANJINGXUANSANNIANDINGQIKAIFANGHUNHE,unknown,
019372,DCYFDLZQA,大成元丰多利债券A,债券型-混合二级,DACHENGYUANFENGDUOLIZHAIQUANA,unknown,
019373,DCYFDLZQC,大成元丰多利债券C,债券型-混合二级,DACHENGYUANFENGDUOLIZHAIQUANC,unknown,
019374,GFRJJXHHFQSA1,广发睿杰精选混合发起式A1,混合型-偏股,GUANGFARUIJIEJINGXUANHUNHEFAQISHIA1,unknown,
019375,GFRJJXHHFQSA2,广发睿杰精选混合发起式A2,混合型-偏股,GUANGFARUIJIEJINGXUANHUNHEFAQISHIA2,unknown,
019376,GFRJJXHHFQSA3,广发睿杰精选混合发起式A3,混合型-偏股,GUANGFARUIJIEJINGXUANHUNHEFAQISHIA3,unknown,
019379,NFQZGYSNDKHH,南方前瞻共赢三年定开混合,混合型-偏股,NANFANGQIANZHANGONGYINGSANNIANDINGKAIHUNHE,unknown,
019380,JSCCJSSYZQA,景顺长城景盛双益债券A,债券型-混合二级,JINGSHUNCHANGCHENGJINGSHENGSHUANGYIZHAIQUANA,unknown,
019381,JSCCJSSYZQC,景顺长城景盛双益债券C,债券型-混合二级,JINGSHUNCHANGCHENGJINGSHENGSHUANGYIZHAIQUANC,unknown,
019382,NFJYZGDJXYZZQC,南方景元中高等级信用债债券C,债券型-长债,NANFANGJINGYUANZHONGGAODENGJIXINYONGZHAIZHAIQUANC,unknown,
019383,YHXYJJHZQD,银华信用季季红债券D,债券型-混合一级,YINHUAXINYONGJIJIHONGZHAIQUAND,unknown,
019384,XQKCXTZSNDKHH,兴全可持续投资三年定开混合,混合型-偏股,XINGQUANKECHIXUTOUZISANNIANDINGKAIHUNHE,unknown,
019385,DCKC50A,东财科创50A,指数型-股票,DONGCAIKECHUANG50A,unknown,
019386,DCKC50C,东财科创50C,指数型-股票,DONGCAIKECHUANG50C,unknown,
019387,ZOSDGYHHFQA1,中欧时代共赢混合发起A1,混合型-偏股,ZHONGOUSHIDAIGONGYINGHUNHEFAQIA1,unknown,
019388,ZOSDGYHHFQA2,中欧时代共赢混合发起A2,混合型-偏股,ZHONGOUSHIDAIGONGYINGHUNHEFAQIA2,unknown,
019389,ZOSDGYHHFQA3,中欧时代共赢混合发起A3,混合型-偏股,ZHONGOUSHIDAIGONGYINGHUNHEFAQIA3,unknown,
019390,GDBDXYJJXHHC,光大保德信研究精选混合C,混合型-偏股,GUANGDABAODEXINYANJIUJINGXUANHUNHEC,unknown,
019391,ZSSZZQZQLOFI,招商双债增强债券(LOF)I,债券型-混合一级,ZHAOSHANGSHUANGZHAIZENGQIANGZHAIQUANLOFI,unknown,
019392,JSJXYXHHA,嘉实匠心严选混合A,混合型-偏股,JIASHIJIANGXINYANXUANHUNHEA,unknown,
019393,JSJXYXHHC,嘉实匠心严选混合C,混合型-偏股,JIASHIJIANGXINYANXUANHUNHEC,unknown,
019394,PYASCLYXHHA,浦银安盛策略优选混合A,混合型-偏股,PUYINANSHENGCELUEYOUXUANHUNHEA,unknown,
019395,PYASCLYXHHC,浦银安盛策略优选混合C,混合型-偏股,PUYINANSHENGCELUEYOUXUANHUNHEC,unknown,
019396,BSSYL60TCYQZQA,博时双月乐60天持有期债券A,债券型-中短债,BOSHISHUANGYUELE60TIANCHIYOUQIZHAIQUANA,unknown,
019397,BSSYL60TCYQZQC,博时双月乐60天持有期债券C,债券型-中短债,BOSHISHUANGYUELE60TIANCHIYOUQIZHAIQUANC,unknown,
019398,GTRYHRTLZQA,国投瑞银恒睿添利债券A,债券型-长债,GUOTOURUIYINHENGRUITIANLIZHAIQUANA,unknown,
019399,GTRYHRTLZQC,国投瑞银恒睿添利债券C,债券型-长债,GUOTOURUIYINHENGRUITIANLIZHAIQUANC,unknown,
019400,GTHTARCZZQA,国泰海通安睿纯债债券A,债券型-中短债,GUOTAIHAITONGANRUICHUNZHAIZHAIQUANA,unknown,
019401,JYRYSNDQKFHH,交银瑞元三年定期开放混合,混合型-偏股,JIAOYINRUIYUANSANNIANDINGQIKAIFANGHUNHE,unknown,
019402,CTZGZZ1000ZSZQA,财通资管中证1000指数增强A,指数型-股票,CAITONGZIGUANZHONGZHENG1000ZHISHUZENGQIANGA,unknown,
019403,CTZGZZ1000ZSZQC,财通资管中证1000指数增强C,指数型-股票,CAITONGZIGUANZHONGZHENG1000ZHISHUZENGQIANGC,unknown,
019404,HXZZQZYSETFFQSLJA,华夏中证全指运输ETF发起式联接A,指数型-股票,HUAXIAZHONGZHENGQUANZHIYUNSHUETFFAQISHILIANJIEA,unknown,
019405,HXZZQZYSETFFQSLJC,华夏中证全指运输ETF发起式联接C,指数型-股票,HUAXIAZHONGZHENGQUANZHIYUNSHUETFFAQISHILIANJIEC,unknown,
019406,FDYDCZA,富达裕达纯债A,债券型-长债,FUDAYUDACHUNZHAIA,unknown,
019407,FDYDCZC,富达裕达纯债C,债券型-长债,FUDAYUDACHUNZHAIC,unknown,
019408,YFDZZGGTZG100ETFLJFQSA,易方达中证港股通中国100ETF联接发起式A,指数型-股票,YIFANGDAZHONGZHENGGANGGUTONGZHONGGUO100ETFLIANJIEFAQISHIA,unknown,
019409,YFDZZGGTZG100ETFLJFQSC,易方达中证港股通中国100ETF联接发起式C,指数型-股票,YIFANGDAZHONGZHENGGANGGUTONGZHONGGUO100ETFLIANJIEFAQISHIC,unknown,
019410,NFSZJJHHA,南方数字经济混合A,混合型-偏股,NANFANGSHUZIJINGJIHUNHEA,unknown,
019411,NFSZJJHHC,南方数字经济混合C,混合型-偏股,NANFANGSHUZIJINGJIHUNHEC,unknown,
019412,CCXXCYHHC,长城新兴产业混合C,混合型-灵活,CHANGCHENGXINXINGCHANYEHUNHEC,unknown,
019414,CCXFZZHHC,长城消费增值混合C,混合型-偏股,CHANGCHENGXIAOFEIZENGZHIHUNHEC,unknown,
019415,NFGGYYHYHHFQQDIIA,南方港股医药行业混合发起(QDII)A,QDII-混合偏股,NANFANGGANGGUYIYAOHANGYEHUNHEFAQIQDIIA,unknown,
019416,NFGGYYHYHHFQQDIIC,南方港股医药行业混合发起(QDII)C,QDII-混合偏股,NANFANGGANGGUYIYAOHANGYEHUNHEFAQIQDIIC,unknown,
019417,ZOPGZQA,中欧磐固债券A,债券型-混合二级,ZHONGOUPANGUZHAIQUANA,unknown,
019418,ZOPGZQC,中欧磐固债券C,债券型-混合二级,ZHONGOUPANGUZHAIQUANC,unknown,
019419,GTHTSYWJLGYCYZQFQFOFA,国泰海通善怡稳健六个月持有债券发起(FOF)A,FOF-稳健型,GUOTAIHAITONGSHANYIWENJIANLIUGEYUECHIYOUZHAIQUANFAQIFOFA,unknown,
019420,GTHTSYWJLGYCYZQFQFOFC,国泰海通善怡稳健六个月持有债券发起(FOF)C,FOF-稳健型,GUOTAIHAITONGSHANYIWENJIANLIUGEYUECHIYOUZHAIQUANFAQIFOFC,unknown,
019421,HAYJHXHHFQSA1,华安远见慧选混合发起式A1,混合型-偏股,HUAANYUANJIANHUIXUANHUNHEFAQISHIA1,unknown,
019422,HAYJHXHHFQSA2,华安远见慧选混合发起式A2,混合型-偏股,HUAANYUANJIANHUIXUANHUNHEFAQISHIA2,unknown,
019423,HAYJHXHHFQSA3,华安远见慧选混合发起式A3,混合型-偏股,HUAANYUANJIANHUIXUANHUNHEFAQISHIA3,unknown,
019424,CTZGSXYNCYQZQA,财通资管双鑫一年持有期债券A,债券型-混合二级,CAITONGZIGUANSHUANGXINYINIANCHIYOUQIZHAIQUANA,unknown,
019425,CTZGSXYNCYQZQC,财通资管双鑫一年持有期债券C,债券型-混合二级,CAITONGZIGUANSHUANGXINYINIANCHIYOUQIZHAIQUANC,unknown,
019426,ZYSZJJHHA,中银数字经济混合A,混合型-偏股,ZHONGYINSHUZIJINGJIHUNHEA,unknown,
019427,ZYSZJJHHC,中银数字经济混合C,混合型-偏股,ZHONGYINSHUZIJINGJIHUNHEC,unknown,
019428,GFZZGXYQGDHBETFFQSLJA,广发中证国新央企股东回报ETF发起式联接A,指数型-股票,GUANGFAZHONGZHENGGUOXINYANGQIGUDONGHUIBAOETFFAQISHILIANJIEA,unknown,
019429,GFZZGXYQGDHBETFFQSLJC,广发中证国新央企股东回报ETF发起式联接C,指数型-股票,GUANGFAZHONGZHENGGUOXINYANGQIGUDONGHUIBAOETFFAQISHILIANJIEC,unknown,
019430,GLAJZZXHH,国联安价值甄选混合,混合型-偏股,GUOLIANANJIAZHIZHENXUANHUNHE,unknown,
019431,YYRXHHA,永赢睿信混合A,混合型-偏股,YONGYINGRUIXINHUNHEA,unknown,
019432,YYRXHHC,永赢睿信混合C,混合型-偏股,YONGYINGRUIXINHUNHEC,unknown,
019433,GTHTXFJYHHFQA,国泰海通消费机遇混合发起A,混合型-偏股,GUOTAIHAITONGXIAOFEIJIYUHUNHEFAQIA,unknown,
019434,GTHTXFJYHHFQC,国泰海通消费机遇混合发起C,混合型-偏股,GUOTAIHAITONGXIAOFEIJIYUHUNHEFAQIC,unknown,
019435,YMXXPZHHA,易米鑫选品质混合A,混合型-偏股,YIMIXINXUANPINZHIHUNHEA,unknown,
019436,YMXXPZHHC,易米鑫选品质混合C,混合型-偏股,YIMIXINXUANPINZHIHUNHEC,unknown,
019437,HSKCCYJXHHA,华商科创创业精选混合A,混合型-偏股,HUASHANGKECHUANGCHUANGYEJINGXUANHUNHEA,unknown,
019438,HSKCCYJXHHC,华商科创创业精选混合C,混合型-偏股,HUASHANGKECHUANGCHUANGYEJINGXUANHUNHEC,unknown,
019439,YHSJ6GYDQKFZQC,银华顺璟6个月定期开放债券C,债券型-长债,YINHUASHUNJING6GEYUEDINGQIKAIFANGZHAIQUANC,unknown,
019440,GDBDXYFSJHHC,光大保德信银发商机混合C,混合型-偏股,GUANGDABAODEXINYINFASHANGJIHUNHEC,unknown,
019441,WJNSDK100ZSFQSQDIIA,万家纳斯达克100指数发起式(QDII)A,指数型-海外股票,WANJIANASIDAKE100ZHISHUFAQISHIQDIIA,unknown,
019442,WJNSDK100ZSFQSQDIIC,万家纳斯达克100指数发起式(QDII)C,指数型-海外股票,WANJIANASIDAKE100ZHISHUFAQISHIQDIIC,unknown,
019443,ZSHJZZTYCDAAAZS7TCY,浙商汇金中证同业存单AAA指数7天持有,指数型-固收,ZHESHANGHUIJINZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOU,unknown,
019444,FGZXWJ3GYCYHHFOFE,富国智选稳进3个月持有混合(FOF)E,FOF-稳健型,FUGUOZHIXUANWENJIN3GEYUECHIYOUHUNHEFOFE,unknown,
019445,HFHSCZZQE,华富恒盛纯债债券E,债券型-长债,HUAFUHENGSHENGCHUNZHAIZHAIQUANE,unknown,
019446,HTFDZZQD,汇添富短债债券D,债券型-中短债,HUITIANFUDUANZHAIZHAIQUAND,unknown,
019447,HXQQKJXFHHQDIIAMYXH,华夏全球科技先锋混合(QDII)A(美元现汇),QDII-混合偏股,HUAXIAQUANQIUKEJIXIANFENGHUNHEQDIIAMEIYUANXIANHUI,unknown,
019448,HXQQKJXFHHQDIIAMYXC,华夏全球科技先锋混合(QDII)A(美元现钞),QDII-混合偏股,HUAXIAQUANQIUKEJIXIANFENGHUNHEQDIIAMEIYUANXIANCHAO,unknown,
019449,MGRBJXGPQDIIC,摩根日本精选股票(QDII)C,QDII-普通股票,MOGENRIBENJINGXUANGUPIAOQDIIC,unknown,
019450,MGOZDLCLGPQDIIC,摩根欧洲动力策略股票(QDII)C,QDII-普通股票,MOGENOUZHOUDONGLICELUEGUPIAOQDIIC,unknown,
019451,ZOXYZQC,中欧兴悦债券C,债券型-长债,ZHONGOUXINGYUEZHAIQUANC,unknown,
019452,NFZZQZYLBJSBYFWETFFQLJA,南方中证全指医疗保健设备与服务ETF发起联接A,指数型-股票,NANFANGZHONGZHENGQUANZHIYILIAOBAOJIANSHEBEIYUFUWUETFFAQILIANJIEA,unknown,
019453,NFZZQZYLBJSBYFWETFFQLJC,南方中证全指医疗保健设备与服务ETF发起联接C,指数型-股票,NANFANGZHONGZHENGQUANZHIYILIAOBAOJIANSHEBEIYUFUWUETFFAQILIANJIEC,unknown,
019454,HTBRZHBDTETFFQSLJQDIIA,华泰柏瑞中韩半导体ETF发起式联接(QDII)A,指数型-海外股票,HUATAIBAIRUIZHONGHANBANDAOTIETFFAQISHILIANJIEQDIIA,unknown,
019455,HTBRZHBDTETFFQSLJQDIIC,华泰柏瑞中韩半导体ETF发起式联接(QDII)C,指数型-海外股票,HUATAIBAIRUIZHONGHANBANDAOTIETFFAQISHILIANJIEQDIIC,unknown,
019456,GFWJYLYNHHFOFY,国富稳健养老一年混合(FOF)Y,FOF-稳健型,GUOFUWENJIANYANGLAOYINIANHUNHEFOFY,unknown,
019457,PAXJZZZTGPFQA,平安先进制造主题股票发起A,股票型,PINGANXIANJINZHIZAOZHUTIGUPIAOFAQIA,unknown,
019458,PAXJZZZTGPFQC,平安先进制造主题股票发起C,股票型,PINGANXIANJINZHIZAOZHUTIGUPIAOFAQIC,unknown,
019460,MGRJCZZQA,摩根瑞锦纯债债券A,债券型-长债,MOGENRUIJINCHUNZHAIZHAIQUANA,unknown,
019461,MGRJCZZQC,摩根瑞锦纯债债券C,债券型-长债,MOGENRUIJINCHUNZHAIZHAIQUANC,unknown,
019462,GYAYWJYLMBSNCYHHFOFY,工银安悦稳健养老目标三年持有混合(FOF)Y,FOF-均衡型,GONGYINANYUEWENJIANYANGLAOMUBIAOSANNIANCHIYOUHUNHEFOFY,unknown,
019463,ZSXYZDZD,招商鑫悦中短债D,债券型-中短债,ZHAOSHANGXINYUEZHONGDUANZHAID,unknown,
019464,YHYYX30TCYQZQA,银华月月享30天持有期债券A,债券型-中短债,YINHUAYUEYUEXIANG30TIANCHIYOUQIZHAIQUANA,unknown,
019465,YHYYX30TCYQZQC,银华月月享30天持有期债券C,债券型-中短债,YINHUAYUEYUEXIANG30TIANCHIYOUQIZHAIQUANC,unknown,
019466,XAXY6GYCYQZQA,信澳鑫裕6个月持有期债券A,债券型-混合二级,XINAOXINYU6GEYUECHIYOUQIZHAIQUANA,unknown,
019467,XAXY6GYCYQZQC,信澳鑫裕6个月持有期债券C,债券型-混合二级,XINAOXINYU6GEYUECHIYOUQIZHAIQUANC,unknown,
019468,XAXCLJXHHA,信澳新材料精选混合A,混合型-偏股,XINAOXINCAILIAOJINGXUANHUNHEA,unknown,
019469,XAXCLJXHHC,信澳新材料精选混合C,混合型-偏股,XINAOXINCAILIAOJINGXUANHUNHEC,unknown,
019470,HXXXHBHHA,华夏信兴回报混合A,混合型-偏股,HUAXIAXINXINGHUIBAOHUNHEA,unknown,
019471,HXXXHBHHC,华夏信兴回报混合C,混合型-偏股,HUAXIAXINXINGHUIBAOHUNHEC,unknown,
019472,CJCHHHFQA,长江长宏混合发起A,混合型-偏股,CHANGJIANGCHANGHONGHUNHEFAQIA,unknown,
019473,CJCHHHFQC,长江长宏混合发起C,混合型-偏股,CHANGJIANGCHANGHONGHUNHEFAQIC,unknown,
019474,ZOJRZQD,中欧聚瑞债券D,债券型-混合一级,ZHONGOUJURUIZHAIQUAND,unknown,
019477,PYCY6GYDKD,鹏扬淳盈6个月定开D,债券型-长债,PENGYANGCHUNYING6GEYUEDINGKAID,unknown,
019478,ZYYYJKHHC,中邮医药健康混合C,混合型-偏股,ZHONGYOUYIYAOJIANKANGHUNHEC,unknown,
019479,HATXZDZE,华安添鑫中短债E,债券型-中短债,HUAANTIANXINZHONGDUANZHAIE,unknown,
019480,BSYZPXSYZQCRMB,博时亚洲票息收益债券C人民币,QDII-纯债,BOSHIYAZHOUPIAOXISHOUYIZHAIQUANCRENMINBI,unknown,
019481,BSYZPXSYZQCMYXH,博时亚洲票息收益债券C美元现汇,QDII-纯债,BOSHIYAZHOUPIAOXISHOUYIZHAIQUANCMEIYUANXIANHUI,unknown,
019482,TKXYJXZQD,泰康信用精选债券D,债券型-长债,TAIKANGXINYONGJINGXUANZHAIQUAND,unknown,
019483,TKXYJXZQE,泰康信用精选债券E,债券型-长债,TAIKANGXINYONGJINGXUANZHAIQUANE,unknown,
019484,DMPZSHJXGPC,大摩品质生活精选股票C,股票型,DAMOPINZHISHENGHUOJINGXUANGUPIAOC,unknown,
019485,NYZTLDHHC,农银主题轮动混合C,混合型-灵活,NONGYINZHUTILUNDONGHUNHEC,unknown,
019486,JYSAFQZQC,金元顺安沣泉债券C,债券型-混合二级,JINYUANSHUNANFENGQUANZHAIQUANC,unknown,
019487,GFTYZQA,广发添盈债券A,债券型-长债,GUANGFATIANYINGZHAIQUANA,unknown,
019488,GFTYZQC,广发添盈债券C,债券型-长债,GUANGFATIANYINGZHAIQUANC,unknown,
019489,JSCCJTTLCZA,景顺长城景泰通利纯债A,债券型-长债,JINGSHUNCHANGCHENGJINGTAITONGLICHUNZHAIA,unknown,
019490,JSCCJTTLCZC,景顺长城景泰通利纯债C,债券型-长债,JINGSHUNCHANGCHENGJINGTAITONGLICHUNZHAIC,unknown,
019491,DCJXLLZA,大成景熙利率债A,债券型-长债,DACHENGJINGXILILVZHAIA,unknown,
019492,DCJXLLZC,大成景熙利率债C,债券型-长债,DACHENGJINGXILILVZHAIC,unknown,
019493,YFDYQKJ50ETFLJA,易方达央企科技50ETF联接A,指数型-股票,YIFANGDAYANGQIKEJI50ETFLIANJIEA,unknown,
019494,YFDYQKJ50ETFLJC,易方达央企科技50ETF联接C,指数型-股票,YIFANGDAYANGQIKEJI50ETFLIANJIEC,unknown,
019495,MGFSFDSCREITSZSQDIIRMBC,摩根富时发达市场REITs指数(QDII)人民币C,指数型-海外股票,MOGENFUSHIFADASHICHANGREITSZHISHUQDIIRENMINBIC,unknown,
019496,ZSHXJHYLSNCYQHHFOFY,招商和享均衡养老三年持有期混合(FOF)Y,FOF-均衡型,ZHAOSHANGHEXIANGJUNHENGYANGLAOSANNIANCHIYOUQIHUNHEFOFY,unknown,
019497,BDMYHHA,博道明远混合A,混合型-偏股,BODAOMINGYUANHUNHEA,unknown,
019498,XQCXYSHHA,兴全创新优势混合A,混合型-偏股,XINGQUANCHUANGXINYOUSHIHUNHEA,unknown,
019499,XQCXYSHHC,兴全创新优势混合C,混合型-偏股,XINGQUANCHUANGXINYOUSHIHUNHEC,unknown,
019500,ZSARJQZQC,招商安瑞进取债券C,债券型-混合二级,ZHAOSHANGANRUIJINQUZHAIQUANC,unknown,
019501,BDMYHHC,博道明远混合C,混合型-偏股,BODAOMINGYUANHUNHEC,unknown,
019502,XAYXLLZA,信澳悦享利率债A,债券型-长债,XINAOYUEXIANGLILVZHAIA,unknown,
019503,BSZZRJFWZSFQSA,博时中证软件服务指数发起式A,指数型-股票,BOSHIZHONGZHENGRUANJIANFUWUZHISHUFAQISHIA,unknown,
019504,BSZZRJFWZSFQSC,博时中证软件服务指数发起式C,指数型-股票,BOSHIZHONGZHENGRUANJIANFUWUZHISHUFAQISHIC,unknown,
019505,GTHTZZ1000YXGPFQA,国泰海通中证1000优选股票发起A,股票型,GUOTAIHAITONGZHONGZHENG1000YOUXUANGUPIAOFAQIA,unknown,
019506,GTHTZZ1000YXGPFQC,国泰海通中证1000优选股票发起C,股票型,GUOTAIHAITONGZHONGZHENG1000YOUXUANGUPIAOFAQIC,unknown,
019507,DFJYBHBC,东方金元宝货币C,货币型-普通货币,DONGFANGJINYUANBAOHUOBIC,unknown,
019508,YHZZGXYQKJYLETFLJA,银华中证国新央企科技引领ETF联接A,指数型-股票,YINHUAZHONGZHENGGUOXINYANGQIKEJIYINLINGETFLIANJIEA,unknown,
019509,YHZZGXYQKJYLETFLJC,银华中证国新央企科技引领ETF联接C,指数型-股票,YINHUAZHONGZHENGGUOXINYANGQIKEJIYINLINGETFLIANJIEC,unknown,
019510,HBZZA500ETFLJA,华宝中证A500ETF联接A,指数型-股票,HUABAOZHONGZHENGA500ETFLIANJIEA,unknown,
019511,HBZZA500ETFLJC,华宝中证A500ETF联接C,指数型-股票,HUABAOZHONGZHENGA500ETFLIANJIEC,unknown,
019512,MGQQDYPZQDIIFOFRMBC,摩根全球多元配置(QDII-FOF)人民币C,QDII-混合平衡,MOGENQUANQIUDUOYUANPEIZHIQDIIFOFRENMINBIC,unknown,
019513,ZOHLZQE,中欧汇利债券E,债券型-混合二级,ZHONGOUHUILIZHAIQUANE,unknown,
