基金代码,拼音缩写,基金简称,基金类型,拼音全称,status,last_updated
009349,QHLHTZZQA,前海联合添泽债券A,债券型-混合一级,QIANHAILIANHETIANZEZHAIQUANA,unknown,
009350,QHLHTZZQC,前海联合添泽债券C,债券型-混合一级,QIANHAILIANHETIANZEZHAIQUANC,unknown,
009353,ZSKCYGYGDCYHHA,浙商科创一个月滚动持有混合A,混合型-偏股,ZHESHANGKECHUANGYIGEYUEGUNDONGCHIYOUHUNHEA,unknown,
009354,ZSKCYGYGDCYHHC,浙商科创一个月滚动持有混合C,混合型-偏股,ZHESHANGKECHUANGYIGEYUEGUNDONGCHIYOUHUNHEC,unknown,
009355,HLTHWJYLMBYNCYHHFOFA,宏利泰和稳健养老目标一年持有混合(FOF)A,FOF-稳健型,HONGLITAIHEWENJIANYANGLAOMUBIAOYINIANCHIYOUHUNHEFOFA,unknown,
009356,BSJJLCYQZQA,博时季季乐持有期债券A,债券型-长债,BOSHIJIJILECHIYOUQIZHAIQUANA,unknown,
009357,BSJJLCYQZQC,博时季季乐持有期债券C,债券型-长债,BOSHIJIJILECHIYOUQIZHAIQUANC,unknown,
009358,XYWJSLYNCYQZQA,兴业稳健双利一年持有期债券A,债券型-混合二级,XINGYEWENJIANSHUANGLIYINIANCHIYOUQIZHAIQUANA,unknown,
009359,XYWJSLYNCYQZQC,兴业稳健双利一年持有期债券C,债券型-混合二级,XINGYEWENJIANSHUANGLIYINIANCHIYOUQIZHAIQUANC,unknown,
009360,ZSCXZZHHA,招商创新增长混合A,混合型-偏股,ZHAOSHANGCHUANGXINZENGZHANGHUNHEA,unknown,
009361,ZSCXZZHHC,招商创新增长混合C,混合型-偏股,ZHAOSHANGCHUANGXINZENGZHANGHUNHEC,unknown,
009362,ZSFYJJPZHHA,招商丰盈积极配置混合A,混合型-偏股,ZHAOSHANGFENGYINGJIJIPEIZHIHUNHEA,unknown,
009363,ZSFYJJPZHHC,招商丰盈积极配置混合C,混合型-偏股,ZHAOSHANGFENGYINGJIJIPEIZHIHUNHEC,unknown,
009364,GYKJCX6GYDKHHA,工银科技创新6个月定开混合A,混合型-偏股,GONGYINKEJICHUANGXIN6GEYUEDINGKAIHUNHEA,unknown,
009365,GYKJCX6GYDKHHC,工银科技创新6个月定开混合C,混合型-偏股,GONGYINKEJICHUANGXIN6GEYUEDINGKAIHUNHEC,unknown,
009366,PYASKJCXYNCYHHA,浦银安盛科技创新一年持有混合A,混合型-偏股,PUYINANSHENGKEJICHUANGXINYINIANCHIYOUHUNHEA,unknown,
009367,PYASKJCXYNCYHHC,浦银安盛科技创新一年持有混合C,混合型-偏股,PUYINANSHENGKEJICHUANGXINYINIANCHIYOUHUNHEC,unknown,
009368,PYASJZJXHHA,浦银安盛价值精选混合A,混合型-偏股,PUYINANSHENGJIAZHIJINGXUANHUNHEA,unknown,
009369,PYASJZJXHHC,浦银安盛价值精选混合C,混合型-偏股,PUYINANSHENGJIAZHIJINGXUANHUNHEC,unknown,
009370,PYASRHYX3GYCYHHFOFA,浦银安盛睿和优选3个月持有混合(FOF)A,FOF-进取型,PUYINANSHENGRUIHEYOUXUAN3GEYUECHIYOUHUNHEFOFA,unknown,
009371,PYASRHYX3GYCYHHFOFC,浦银安盛睿和优选3个月持有混合(FOF)C,FOF-进取型,PUYINANSHENGRUIHEYOUXUAN3GEYUECHIYOUHUNHEFOFC,unknown,
009372,PYASJHWJYNCYHHFOFA,浦银安盛嘉和稳健一年持有混合(FOF)A,FOF-稳健型,PUYINANSHENGJIAHEWENJIANYINIANCHIYOUHUNHEFOFA,unknown,
009373,PYASJHWJYNCYHHFOFC,浦银安盛嘉和稳健一年持有混合(FOF)C,FOF-稳健型,PUYINANSHENGJIAHEWENJIANYINIANCHIYOUHUNHEFOFC,unknown,
009376,JSCCCZLHHH,景顺长城成长领航混合,混合型-偏股,JINGSHUNCHANGCHENGCHENGZHANGLINGHANGHUNHE,unknown,
009377,ZSRHYNCYQHHA,招商瑞恒一年持有期混合A,混合型-偏债,ZHAOSHANGRUIHENGYINIANCHIYOUQIHUNHEA,unknown,
009378,ZSRHYNCYQHHC,招商瑞恒一年持有期混合C,混合型-偏债,ZHAOSHANGRUIHENGYINIANCHIYOUQIHUNHEC,unknown,
009379,ZYCZYXGPA,中银成长优选股票A,股票型,ZHONGYINCHENGZHANGYOUXUANGUPIAOA,unknown,
009380,FADKJLHHHA,富安达科技领航混合A,混合型-偏股,FUANDAKEJILINGHANGHUNHEA,unknown,
009381,HAHXZCHHA,汇安核心资产混合A,混合型-偏股,HUIANHEXINZICHANHUNHEA,unknown,
009382,HAHXZCHHC,汇安核心资产混合C,混合型-偏股,HUIANHEXINZICHANHUNHEC,unknown,
009383,RBWJPZSGYCYFOF,人保稳进配置三个月持有(FOF),FOF-稳健型,RENBAOWENJINPEIZHISANGEYUECHIYOUFOF,unknown,
009385,THYYPHYLSNCYQHHFQSFOFA,天弘永裕平衡养老三年持有期混合发起式(FOF)A,FOF-均衡型,TIANHONGYONGYUPINGHENGYANGLAOSANNIANCHIYOUQIHUNHEFAQISHIFOFA,unknown,
009386,CJHXTX39GY,创金合信泰享39个月,债券型-长债,CHUANGJINHEXINTAIXIANG39GEYUE,unknown,
